name,description,category,sub_category,price,previous_price,image_url

Llama Chinese Qipao Candle,"Soy wax scented candle with a label showcasing a Llama in a traditional Chinese qipao, holding a paper lantern.",2,5,25,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716258/llama_chinese_qipao_candle_ojvfpw.png
Llama Moroccan Candle,"Scented candle with a label featuring a Llama in traditional Moroccan attire, surrounded by intricate mosaic tiles",2,5,27,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716256/llama_moroccan_candle_nkdxce.png
Llama Mauve Candle,"Candle featuring an adorable Llama wearing a mauve scarf sitting besides fireplace.",2,5,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716257/llama_mauve_candle_ieopkf.png
Llama Comfy Desk Mat,"Desk mat with a cute Llama lying on a comfy pillow, reading a book under a cozy lamp.",2,6,15,15,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716247/llama_comfy_book_desk_mat_qp8eb7.png
Llama Tech Desk Mat,"Desk mat featuring an adorable Llama working at a computer, with glasses perched on its nose and a steaming cup of coffee by its side.",2,6,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716246/llama_programmer_desk_mat_xvic0t.png
Llama Cat Cloud Notebook,"Notebook featuring an adorable Llama sitting next to a cute cat between clouds.",2,7,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716238/llama_cat_cloud_notebook_iynocd.png
Llama Bonefire Notebook,"Illuminating notebook with a guitar playing Llama beside a bonefire on a star filled night.",2,7,25,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716237/llama_green_guitar_bonefore_notebook_pl8gzx.png


Llama Campfire Hoodie,"Hoodie featuring Llamas sitting around a campfire with a night sky filled with constellations.",1,2,55,65,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716227/llama_bonefire_group_hoody_gichfe.png
Llama Indian Floral Hoodie,"Hoodie with a Llama in traditional Indian attire surrounded by vibrant flowers.",1,2,60,70,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716226/llama_indian_kurta_hoody_qgo60t.png
Llama Superhero Hoodie,"Hoodie featuring a Llama in a superhero costume, flying through the sky with a cape.",1,2,50,60,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716226/llama_superhero_hoody_rskukl.png
Llama Chinese Shorts,"Shorts featuring two Llama in traditional Chinese attire, surrounded by paper lanterns and bamboo.",1,4,30,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716218/llama_chinese_shorts_augfj3.png
Llama Moon Shorts,"Shorts featuring a Llama sleeping on a crescent moon, surrounded by clouds and stars.",1,4,25,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716217/llama_moon_shorts_jegfxy.png
Llama Moon Sweatshirt,"Sweatshirt featuring a Llama sleeping on a crescent moon, surrounded by clouds and stars.",1,3,45,50,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716207/llama_moon_sweatshirt_amegsn.png
Llama Soothing Reader Sweatshirt,"Sweatshirt featuring an adorable Llama reading a book under a blanket fort, with fairy lights around.",1,3,50,60,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716207/llama_reading_soothing_sweatshirt_zfa2xd.png
Llama Winter Sweatshirt,"Sweatshirt featuring a Llama wrapped in a cozy scarf, holding a cup of hot cocoa in a winter landscape.",1,3,55,65,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716206/llama_scarf_blue_sweatshirt_vucslb.png
Llama Japanese Kimono T-shirt,"T-shirt featuring an adorable Llama dressed in a traditional Japanese kimono, holding a fan and standing under a cherry blossom tree.",1,1,25,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716198/llama_japanese_kimono_lavender_eqhfo0.png
Llama Skateboard T-shirt,"T-shirt featuring a fun Llama riding a skateboard with a backwards cap, surrounded by graffiti-style doodles.",1,1,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716197/llama_skateboard_tshirt_gzlrie.png
Llama Hot Air Balloon T-shirt,"T-shirt featuring a adorable Llama wearing a Hawaiian lei and flying in a hot balloon, with a smile.",1,1,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716197/llama_hawaiin_lei_balloon_tshirt_yp6ik2.png


Llama African Tumbler,"Tumbler featuring a group of Llamas in traditional African attire, standing against a savanna backdrop with an acacia tree.",3,10,30,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716165/llama_african_tumbler_sif9ig.png
Llama Ushanka Tumbler,"Tumbler with a festive Llama wearing a ushanka hat, surrounded by snow flakes.",3,10,35,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716164/llama_winter_ushanka_hat_fd6xv4.png
Llama Japanese Kimono Bottle,"Stainless steel water bottle featuring a playful Llama dressed in a Japanese kimono, surrounded by cherry blossoms.",3,8,40,45,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716156/llama_japanese_kimono_bottle_yj1se5.png
Llama Taj Mahal Bottle,"Stainless steel bottle with a Llama adorned in vibrant Indian jewelry, standing in front of the Taj Mahal.",3,8,45,50,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716155/llama_taj_mahal_bottle_mxp7te.png
Llama Arizona Mug,"Mug with an adorable Llama surrounded by cacti and desert flowers.",3,9,35,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716144/texas_llama_mug_qhmaf8.png
Llama Explorer Mug,"Mug with an adventurous Llama surrounded by mountains and river.",3,9,40,55,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716144/llama_pastel_green_mug_dmc3mq.png
Llama Mauve Patterned Mug,"Mug with an adorable Llama among a unique inspirational pattern with a Mauve backdrop.",3,9,30,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716145/llama_white_mauve_mug_ub2jcb.png
