name,category,imageUrl,price
Brown Brim,Hats,https://i.ibb.co/ZYW3VTp/brown-brim.png,25
Blue Beanie,Hats,https://i.ibb.co/ypkgK0X/blue-beanie.png,18
Brown Cowboy,Hats,https://i.ibb.co/QdJwgmp/brown-cowboy.png,35
Grey Brim,Hats,https://i.ibb.co/RjBLWxB/grey-brim.png,25
Green Beanie,Hats,https://i.ibb.co/YTjW3vF/green-beanie.png,18
Palm Tree Cap,Hats,https://i.ibb.co/rKBDvJX/palm-tree-cap.png,14
Red Beanie,Hats,https://i.ibb.co/bLB646Z/red-beanie.png,18
Wolf Cap,Hats,https://i.ibb.co/1f2nWMM/wolf-cap.png,14
Blue Snapback,Hats,https://i.ibb.co/X2VJP2W/blue-snapback.png,16
Adidas NMD,Sneakers,https://i.ibb.co/0s3pdnc/adidas-nmd.png,220
Adidas Yeezy,Sneakers,https://i.ibb.co/dJbG1cT/yeezy.png,280
Black Converse,Sneakers,https://i.ibb.co/bPmVXyP/black-converse.png,110
Nike White AirForce,Sneakers,https://i.ibb.co/1RcFPk0/white-nike-high-tops.png,160
Nike Red High Tops,Sneakers,https://i.ibb.co/QcvzydB/nikes-red.png,160
Nike Brown High Tops,Sneakers,https://i.ibb.co/fMTV342/nike-brown.png,160
Air Jordan Limited,Sneakers,https://i.ibb.co/w4k6Ws9/nike-funky.png,190
Timberlands,Sneakers,https://i.ibb.co/Mhh6wBg/timberlands.png,200
Black Jean Shearling,Jackets,https://i.ibb.co/XzcwL5s/black-shearling.png,125
Blue Jean Jacket,Jackets,https://i.ibb.co/mJS6vz0/blue-jean-jacket.png,90
Grey Jean Jacket,Jackets,https://i.ibb.co/N71k1ML/grey-jean-jacket.png,90
Brown Shearling,Jackets,https://i.ibb.co/s96FpdP/brown-shearling.png,165
Tan Trench,Jackets,https://i.ibb.co/M6hHc3F/brown-trench.png,185
Blue Tanktop,Dresses,https://i.ibb.co/7CQVJNm/blue-tank.png,25
Floral Blouse,Dresses,https://i.ibb.co/4W2DGKm/floral-blouse.png,20
Floral Dress,Dresses,https://i.ibb.co/KV18Ysr/floral-skirt.png,80
Red Dots Dress,Dresses,https://i.ibb.co/N3BN1bh/red-polka-dot-dress.png,80
Striped Sweater,Dresses,https://i.ibb.co/KmSkMbH/striped-sweater.png,45
Yellow Track Suit,Dresses,https://i.ibb.co/v1cvwNf/yellow-track-suit.png,135
White Blouse,Dresses,https://i.ibb.co/qBcrsJg/white-vest.png,20
Camo Down Vest,Tops,https://i.ibb.co/xJS0T3Y/camo-vest.png,325
Floral T-shirt,Tops,https://i.ibb.co/qMQ75QZ/floral-shirt.png,20
Black & White Longsleeve,Tops,https://i.ibb.co/55z32tw/long-sleeve.png,25
Pink T-shirt,Tops,https://i.ibb.co/RvwnBL8/pink-shirt.png,25
Jean Long Sleeve,Tops,https://i.ibb.co/VpW4x5t/roll-up-jean-shirt.png,40
Burgundy T-shirt,Tops,https://i.ibb.co/mh3VM1f/polka-dot-shirt.png,25
