name,description,category,sub_category,price,previous_price,image_url
Llama Chinese Qipao Candle,"Soy wax scented candle with a label showcasing a Llama in a traditional Chinese qipao, holding a paper lantern.",accessories,candles,25,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716258/llama_chinese_qipao_candle_ojvfpw.png
Llama Moroccan Candle,"Scented candle with a label featuring a Llama in traditional Moroccan attire, surrounded by intricate mosaic tiles",accessories,candles,27,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716256/llama_moroccan_candle_nkdxce.png
Llama Mauve Candle,"Candle featuring an adorable Llama wearing a mauve scarf sitting besides fireplace.",accessories,candles,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716257/llama_mauve_candle_ieopkf.png
Llama Comfy Desk Mat,"Desk mat with a cute Llama lying on a comfy pillow, reading a book under a cozy lamp.",accessories,desk mats,15,15,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716247/llama_comfy_book_desk_mat_qp8eb7.png
Llama Tech Desk Mat,"Desk mat featuring an adorable Llama working at a computer, with glasses perched on its nose and a steaming cup of coffee by its side.",accessories,desk mats,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716246/llama_programmer_desk_mat_xvic0t.png
Llama Cat Cloud Notebook,"Notebook featuring an adorable Llama sitting next to a cute cat between clouds.",accessories,notebooks,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716238/llama_cat_cloud_notebook_iynocd.png
Llama Bonefire Notebook,"Illuminating notebook with a guitar playing Llama beside a bonefire on a star filled night.",accessories,notebooks,25,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716237/llama_green_guitar_bonefore_notebook_pl8gzx.png
Llama Campfire Hoodie,"Hoodie featuring Llamas sitting around a campfire with a night sky filled with constellations.",clothing,hoodies,55,65,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716227/llama_bonefire_group_hoody_gichfe.png
Llama Indian Floral Hoodie,"Hoodie with a Llama in traditional Indian attire surrounded by vibrant flowers.",clothing,hoodies,60,70,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716226/llama_indian_kurta_hoody_qgo60t.png
Llama Superhero Hoodie,"Hoodie featuring a Llama in a superhero costume, flying through the sky with a cape.",clothing,hoodies,50,60,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716226/llama_superhero_hoody_rskukl.png
